                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2601,                 1.8045,                 1.4316,                0.64937,                0.52942,                0.56789,                0.27246,                  1.838,                 1.6668,                 1.7601,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2017,                  1.387,                 1.3854,                0.56169,                0.44478,                0.42654,                0.20018,                 2.0452,                 2.5747,                 2.1048,             0.00046514,             0.00046514,             0.00046514
                      3,                 1.2106,                 1.3693,                 1.3878,                0.71877,                0.48723,                0.54799,                0.25961,                 1.9431,                 1.8666,                 1.9595,             0.00068432,             0.00068432,             0.00068432
                      4,                 1.1833,                 1.3177,                 1.3773,                0.74189,                0.56973,                0.61531,                0.27894,                 1.9446,                 1.5704,                 1.9323,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.1507,                 1.2397,                 1.3481,                0.80082,                0.56258,                0.64732,                0.27483,                 2.0502,                 1.4355,                 2.0558,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.1062,                 1.1638,                  1.323,                0.70653,                0.62069,                0.65146,                0.31406,                 1.8023,                 1.3362,                 1.8258,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.0918,                 1.1144,                 1.3076,                0.70597,                0.57687,                0.62192,                0.32097,                  1.718,                 1.4289,                 1.7887,             0.00064331,             0.00064331,             0.00064331
                      8,                   1.07,                 1.0585,                 1.2871,                0.81275,                0.61328,                0.69115,                 0.3484,                 1.7664,                 1.1659,                 1.7731,             0.00062918,             0.00062918,             0.00062918
                      9,                  1.042,                 1.0152,                 1.2778,                0.77615,                0.63623,                0.67803,                0.35019,                 1.6869,                 1.2366,                 1.7512,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.0191,                0.96351,                 1.2536,                0.84636,                0.63873,                0.69915,                0.36504,                 1.7173,                 1.1275,                 1.7311,              0.0006009,              0.0006009,              0.0006009
                     11,                0.99765,                0.93349,                 1.2408,                0.84586,                 0.6262,                0.69351,                0.37018,                  1.654,                 1.1863,                 1.6934,             0.00058677,             0.00058677,             0.00058677
                     12,                0.98648,                0.89771,                 1.2251,                 0.8106,                0.64796,                0.72039,                0.39931,                 1.5808,                 1.0992,                 1.6375,             0.00057263,             0.00057263,             0.00057263
                     13,                0.95838,                0.86475,                  1.209,                0.88505,                0.63462,                0.72248,                0.40066,                 1.6142,                 1.1073,                 1.6822,             0.00055849,             0.00055849,             0.00055849
                     14,                0.93825,                0.84771,                 1.2052,                0.89057,                0.67698,                0.75467,                0.41833,                 1.5944,                 1.0711,                 1.6724,             0.00054435,             0.00054435,             0.00054435
                     15,                0.93377,                0.81707,                  1.194,                0.86788,                0.68971,                0.75765,                0.44141,                 1.4683,                0.97609,                 1.5511,             0.00053022,             0.00053022,             0.00053022
                     16,                0.93095,                0.80575,                 1.1879,                0.87706,                0.68618,                0.75014,                0.44572,                 1.4319,                0.97006,                  1.508,             0.00051608,             0.00051608,             0.00051608
                     17,                0.89748,                0.78057,                 1.1741,                0.82181,                0.70846,                0.75557,                0.43975,                 1.5073,                0.99823,                 1.5604,             0.00050194,             0.00050194,             0.00050194
                     18,                 0.8969,                0.75921,                   1.17,                0.88924,                0.68978,                0.76393,                0.44435,                 1.5278,                0.95524,                 1.5821,              0.0004878,              0.0004878,              0.0004878
                     19,                0.87893,                0.74371,                 1.1548,                0.86902,                0.69058,                0.75488,                 0.4595,                 1.4146,                0.99791,                 1.5122,             0.00047367,             0.00047367,             0.00047367
                     20,                0.86793,                 0.7337,                 1.1514,                0.88998,                0.69191,                0.77065,                0.46705,                 1.3749,                0.92449,                 1.5279,             0.00045953,             0.00045953,             0.00045953
                     21,                0.85304,                0.71364,                 1.1437,                0.88687,                0.70699,                0.78059,                0.45657,                 1.4906,                0.88677,                 1.5664,             0.00044539,             0.00044539,             0.00044539
                     22,                0.84031,                0.69234,                 1.1347,                0.89359,                0.68576,                0.77633,                0.45697,                 1.4408,                0.92997,                 1.5278,             0.00043126,             0.00043126,             0.00043126
                     23,                0.82586,                0.67141,                  1.121,                0.85063,                0.73591,                0.78165,                0.46917,                 1.4084,                 0.8882,                  1.508,             0.00041712,             0.00041712,             0.00041712
                     24,                0.82872,                0.66582,                 1.1233,                0.88934,                0.72368,                0.78878,                0.46537,                 1.4629,                0.89392,                 1.5514,             0.00040298,             0.00040298,             0.00040298
                     25,                0.80791,                0.64528,                 1.1137,                0.86022,                0.73281,                0.78596,                0.50232,                 1.3357,                0.88037,                 1.4795,             0.00038884,             0.00038884,             0.00038884
                     26,                0.80286,                0.64283,                 1.1028,                0.90959,                 0.7344,                0.80738,                0.48776,                 1.4285,                0.84711,                 1.5154,             0.00037471,             0.00037471,             0.00037471
                     27,                0.78987,                0.62401,                 1.0982,                0.88723,                0.72483,                0.79843,                0.51371,                 1.2792,                0.81425,                 1.4058,             0.00036057,             0.00036057,             0.00036057
                     28,                0.77808,                0.61917,                 1.0958,                0.89348,                0.74897,                0.81559,                0.49391,                 1.4124,                 0.8176,                 1.5309,             0.00034643,             0.00034643,             0.00034643
                     29,                0.76217,                0.59833,                 1.0871,                0.89749,                0.73945,                0.80556,                0.50297,                 1.3344,                0.82475,                  1.445,              0.0003323,              0.0003323,              0.0003323
                     30,                0.76311,                0.59388,                 1.0802,                0.92241,                0.73336,                 0.8091,                0.50297,                 1.3094,                0.76125,                 1.4594,             0.00031816,             0.00031816,             0.00031816
                     31,                0.75777,                0.58972,                 1.0749,                0.92132,                0.73494,                0.80625,                0.52375,                  1.277,                0.80063,                 1.4175,             0.00030402,             0.00030402,             0.00030402
                     32,                0.73869,                0.56554,                 1.0642,                0.90022,                 0.7604,                0.81297,                 0.5039,                 1.3082,                 0.7752,                 1.4642,             0.00028988,             0.00028988,             0.00028988
                     33,                0.74257,                0.56941,                 1.0739,                 0.9111,                0.74808,                0.81736,                0.51217,                 1.2986,                0.76269,                 1.4457,             0.00027575,             0.00027575,             0.00027575
                     34,                0.72441,                0.55903,                 1.0607,                0.92748,                0.75182,                0.81801,                0.53756,                 1.2346,                0.73743,                 1.4004,             0.00026161,             0.00026161,             0.00026161
                     35,                0.71737,                0.54145,                 1.0527,                0.93492,                0.74233,                0.81848,                 0.5151,                 1.3259,                0.77552,                 1.4571,             0.00024747,             0.00024747,             0.00024747
                     36,                0.70655,                0.53916,                 1.0482,                0.91684,                0.75013,                0.82179,                0.54425,                 1.2341,                0.74517,                 1.3771,             0.00023334,             0.00023334,             0.00023334
                     37,                0.69656,                 0.5209,                 1.0381,                0.93277,                0.75297,                 0.8281,                0.55006,                 1.2241,                 0.7703,                  1.381,              0.0002192,              0.0002192,              0.0002192
                     38,                0.68085,                0.51361,                 1.0364,                0.89935,                0.76079,                0.83741,                0.55726,                 1.1845,                0.75132,                 1.3477,             0.00020506,             0.00020506,             0.00020506
                     39,                0.68067,                0.51165,                 1.0356,                0.91276,                0.75032,                0.83482,                0.55138,                 1.2179,                0.73923,                 1.3718,             0.00019092,             0.00019092,             0.00019092
                     40,                0.66597,                0.49613,                 1.0219,                0.92276,                0.77332,                0.83854,                0.57057,                 1.1632,                0.72298,                 1.3401,             0.00017679,             0.00017679,             0.00017679
